,Name,Year,Age,Team,League,Position,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
180,DeMar DeRozan,2018,28,TOR,NBA,SG,80,80,33.9,8.1,17.7,.456,1.1,3.6,.310,7.0,14.1,.494,.488,5.8,7.0,.825,0.7,3.2,3.9,5.2,1.1,0.3,2.2,1.9,23.0,MVP-8,28,TOR,NBA,SG,80,80,2711,21.0,.555,.203,.396,2.5,10.4,6.5,25.0,1.5,0.6,9.5,29.6,6.8,2.8,9.6,.170,3.3,-0.6,2.8,3.2,MVP-8
181,Stephen Curry,2018,29,GSW,NBA,PG,51,51,32.0,8.4,16.9,.495,4.2,9.8,.423,4.2,7.1,.595,.618,5.5,5.9,.921,0.7,4.4,5.1,6.1,1.6,0.2,3.0,2.2,26.4,MVP-10,29,GSW,NBA,PG,51,51,1631,28.2,.675,.580,.350,2.7,14.4,9.0,30.3,2.4,0.4,13.3,31.0,7.2,1.9,9.1,.267,7.8,0.0,7.7,4.0,MVP-10
182,Giannis Antetokounmpo,2018,23,MIL,NBA,PF,75,75,36.7,9.9,18.7,.529,0.6,1.9,.307,9.3,16.8,.554,.545,6.5,8.5,.760,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,26.9,MVP-6,23,MIL,NBA,PF,75,75,2756,27.3,.598,.100,.457,6.7,25.3,16.0,23.7,2.0,3.3,11.7,31.2,8.3,3.6,11.9,.207,5.3,0.9,6.2,5.7,MVP-6
183,Joel Embiid,2018,23,PHI,NBA,C,63,63,30.3,8.1,16.8,.483,1.0,3.4,.308,7.0,13.4,.527,.514,5.7,7.4,.769,2.3,8.7,11.0,3.2,0.6,1.8,3.7,3.3,22.9,MVP-12,23,PHI,NBA,C,63,63,1912,22.9,.573,.203,.442,8.4,29.7,19.4,18.0,1.0,4.8,15.6,33.4,2.3,3.8,6.2,.155,2.0,1.3,3.3,2.6,MVP-12
184,Kyle Lowry,2018,31,TOR,NBA,PG,78,78,32.2,5.2,12.1,.427,3.1,7.6,.399,2.1,4.5,.474,.553,2.9,3.3,.854,0.8,4.7,5.6,6.9,1.1,0.2,2.3,2.5,16.2,AS,31,TOR,NBA,PG,78,78,2510,19.5,.598,.631,.276,3.0,16.1,9.7,30.9,1.7,0.6,14.7,21.7,7.0,3.1,10.2,.194,4.7,0.5,5.2,4.5,AS
185,Klay Thompson,2018,27,GSW,NBA,SG,73,73,34.3,7.9,16.2,.488,3.1,7.1,.440,4.7,9.0,.526,.585,1.1,1.3,.837,0.4,3.4,3.8,2.5,0.8,0.5,1.8,1.6,20.0,DPOY-11,27,GSW,NBA,SG,73,73,2506,16.0,.598,.442,.083,1.5,10.3,6.2,11.2,1.1,1.1,9.5,23.7,3.1,1.8,4.9,.094,1.7,-2.1,-0.4,1.0,DPOY-11
186,Damian Lillard,2018,27,POR,NBA,PG,73,73,36.6,8.5,19.4,.439,3.1,8.6,.361,5.4,10.8,.501,.519,6.8,7.4,.916,0.8,3.6,4.5,6.6,1.1,0.4,2.8,1.6,26.9,MVP-4,27,POR,NBA,PG,73,73,2670,25.2,.594,.445,.380,2.6,10.6,6.6,30.9,1.4,0.8,11.1,30.6,9.9,2.7,12.6,.227,7.0,0.3,7.2,6.3,MVP-4
187,Draymond Green,2018,27,GSW,NBA,PF,70,70,32.7,4.0,8.8,.454,1.1,3.7,.301,2.9,5.2,.562,.516,1.9,2.5,.775,1.1,6.6,7.6,7.3,1.4,1.3,2.9,2.6,11.0,DPOY-6,27,GSW,NBA,PF,70,70,2287,16.1,.556,.414,.279,3.9,21.1,13.1,29.0,2.0,3.1,22.5,17.2,2.6,3.4,6.1,.127,0.9,1.9,2.8,2.8,DPOY-6
188,Karl-Anthony Towns,2018,22,MIN,NBA,C,82,82,35.6,7.8,14.3,.545,1.5,3.5,.421,6.3,10.8,.585,.596,4.2,4.9,.858,2.9,9.4,12.3,2.4,0.8,1.4,1.9,3.5,21.3,AS,22,MIN,NBA,C,82,82,2918,24.9,.646,.243,.343,9.3,30.9,20.0,10.8,1.1,3.5,10.5,22.9,10.6,3.4,14.0,.230,4.9,0.2,5.1,5.2,AS
189,Al Horford,2018,31,BOS,NBA,C,72,72,31.6,5.1,10.5,.489,1.3,3.1,.429,3.8,7.3,.514,.553,1.3,1.7,.783,1.4,5.9,7.4,4.7,0.6,1.1,1.8,1.9,12.9,DPOY-5,31,BOS,NBA,C,72,72,2277,17.6,.575,.300,.159,5.0,20.2,12.7,23.6,0.9,2.9,14.1,18.4,4.0,3.8,7.8,.165,2.4,2.0,4.4,3.7,DPOY-5
190,Anthony Davis,2017,23,NOP,NBA,C,75,75,36.1,10.3,20.3,.505,0.5,1.8,.299,9.7,18.6,.524,.518,6.9,8.6,.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0,MVP-9,23,NOP,NBA,C,75,75,2708,27.5,.580,.088,.424,6.7,27.9,17.2,11.1,1.7,5.1,9.1,32.6,5.9,5.1,11.0,.195,4.4,1.4,5.9,5.4,MVP-9
191,James Harden,2017,27,HOU,NBA,PG,81,81,36.4,8.3,18.9,.440,3.2,9.3,.347,5.1,9.6,.530,.525,9.2,10.9,.847,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1,MVP-2,27,HOU,NBA,PG,81,81,2947,27.4,.613,.493,.575,3.5,20.9,12.2,50.7,2.0,1.0,19.5,34.2,11.5,3.6,15.0,.245,7.5,1.2,8.7,8.0,MVP-2
192,Stephen Curry,2017,28,GSW,NBA,PG,79,79,33.4,8.5,18.3,.468,4.1,10.0,.411,4.4,8.3,.537,.580,4.1,4.6,.898,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3,MVP-6,28,GSW,NBA,PG,79,79,2638,24.6,.624,.547,.251,2.7,11.4,7.3,31.2,2.6,0.5,13.0,30.1,8.7,3.9,12.6,.229,6.7,0.3,6.9,5.9,MVP-6
193,Kevin Durant,2017,28,GSW,NBA,PF,62,62,33.4,8.9,16.5,.537,1.9,5.0,.375,7.0,11.5,.608,.594,5.4,6.2,.875,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1,MVP-9,28,GSW,NBA,PF,62,62,2070,27.6,.651,.304,.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8,8.0,4.0,12.0,.278,6.7,2.2,8.9,5.7,MVP-9
194,Kawhi Leonard,2017,25,SAS,NBA,SF,74,74,33.4,8.6,17.7,.485,2.0,5.2,.380,6.6,12.5,.529,.541,6.3,7.2,.880,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5,MVP-3,25,SAS,NBA,SF,74,74,2474,27.6,.610,.295,.406,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1,8.9,4.7,13.6,.264,7.1,2.2,9.4,7.1,MVP-3
195,Marc Gasol,2017,32,MEM,NBA,C,74,74,34.2,7.2,15.7,.459,1.4,3.6,.388,5.8,12.1,.480,.503,3.8,4.5,.837,0.8,5.5,6.3,4.6,0.9,1.3,2.2,2.3,19.5,AS,32,MEM,NBA,C,74,74,2531,20.3,.554,.231,.286,2.6,18.8,10.5,24.8,1.4,3.7,11.3,26.4,4.2,3.5,7.7,.145,3.8,1.4,5.2,4.6,AS
196,Russell Westbrook,2017,28,OKC,NBA,PG,81,81,34.6,10.2,24.0,.425,2.5,7.2,.343,7.7,16.8,.459,.476,8.8,10.4,.845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,MVP-1,28,OKC,NBA,PG,81,81,2802,30.6,.554,.300,.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,8.5,4.6,13.1,.224,8.7,2.4,11.1,9.3,MVP-1
197,Klay Thompson,2017,26,GSW,NBA,SG,78,78,34.0,8.3,17.6,.468,3.4,8.3,.414,4.8,9.3,.516,.565,2.4,2.8,.853,0.6,3.0,3.7,2.1,0.8,0.5,1.6,1.8,22.3,AS,26,GSW,NBA,SG,78,78,2649,17.4,.592,.470,.158,2.2,9.2,5.9,9.3,1.2,1.2,8.0,26.1,4.2,2.9,7.1,.129,2.4,-1.6,0.8,1.9,AS
198,Gordon Hayward,2017,26,UTA,NBA,SF,73,73,34.5,7.5,15.8,.471,2.0,5.1,.398,5.4,10.7,.506,.536,5.0,5.9,.844,0.7,4.7,5.4,3.5,1.0,0.3,1.9,1.6,21.9,AS,26,UTA,NBA,SF,73,73,2516,22.2,.595,.324,.371,2.3,15.4,9.0,18.2,1.5,0.6,9.4,27.6,7.1,3.3,10.4,.199,4.6,0.5,5.0,4.5,AS
199,Draymond Green,2017,26,GSW,NBA,PF,76,76,32.5,3.6,8.6,.418,1.1,3.5,.308,2.5,5.1,.494,.481,2.0,2.8,.709,1.3,6.6,7.9,7.0,2.0,1.4,2.4,2.9,10.2,DPOY-1,26,GSW,NBA,PF,76,76,2471,16.5,.522,.405,.328,4.7,20.9,13.3,27.6,3.0,3.4,19.8,16.2,2.8,5.4,8.2,.160,1.0,3.9,4.9,4.3,DPOY-1
200,DeAndre Jordan,2017,28,LAC,NBA,C,81,81,31.7,5.1,7.1,.714,0.0,0.0,.000,5.1,7.1,.717,.714,2.5,5.2,.482,3.7,10.1,13.8,1.2,0.6,1.7,1.4,2.6,12.7,AS,28,LAC,NBA,C,81,81,2570,21.8,.673,.003,.737,13.3,34.6,24.2,5.7,1.0,4.3,13.1,15.3,7.2,4.6,11.8,.221,2.5,0.9,3.3,3.5,AS
201,DeMarcus Cousins,2017,26,2TM,NBA,C,72,72,34.2,9.0,19.9,.452,1.8,5.0,.361,7.2,14.8,.483,.498,7.2,9.3,.772,2.1,8.9,11.0,4.6,1.4,1.3,3.7,3.9,27.0,AS,26,2TM,NBA,C,72,72,2465,25.8,.562,.253,.468,7.0,29.2,18.2,25.8,2.0,3.4,13.5,36.5,3.9,3.8,7.6,.149,5.0,1.8,6.8,5.5,AS
202,DeMar DeRozan,2017,27,TOR,NBA,SG,74,74,35.4,9.7,20.9,.467,0.4,1.7,.266,9.3,19.2,.484,.477,7.4,8.7,.842,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,27.3,MVP-11,27,TOR,NBA,SG,74,74,2620,24.0,.552,.080,.419,3.0,13.6,8.3,20.6,1.5,0.4,9.0,34.3,6.7,2.4,9.0,.166,4.1,-1.0,3.0,3.3,MVP-11
203,Giannis Antetokounmpo,2017,22,MIL,NBA,SF,80,80,35.6,8.2,15.7,.521,0.6,2.3,.272,7.6,13.5,.563,.541,5.9,7.7,.770,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9,MVP-7,22,MIL,NBA,SF,80,80,2845,26.1,.599,.143,.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,.210,4.9,2.4,7.3,6.7,MVP-7
204,Kyrie Irving,2017,24,CLE,NBA,PG,72,72,35.1,9.3,19.7,.473,2.5,6.1,.401,6.9,13.6,.505,.535,4.1,4.6,.905,0.7,2.5,3.2,5.8,1.2,0.3,2.5,2.2,25.2,AS,24,CLE,NBA,PG,72,72,2525,23.0,.580,.311,.231,2.3,7.5,5.0,29.7,1.6,0.8,10.3,30.8,7.4,1.5,8.9,.170,4.7,-1.3,3.4,3.4,AS
205,LeBron James,2017,32,CLE,NBA,SF,74,74,37.8,9.9,18.2,.548,1.7,4.6,.363,8.3,13.5,.611,.594,4.8,7.2,.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,MVP-4,32,CLE,NBA,SF,74,74,2794,27.0,.619,.254,.395,4.0,20.7,12.6,41.3,1.6,1.3,16.1,30.0,9.8,3.0,12.9,.221,6.4,1.2,7.6,6.7,MVP-4
206,Jimmy Butler,2017,27,CHI,NBA,SF,76,75,37.0,7.5,16.5,.455,1.2,3.3,.367,6.3,13.2,.477,.492,7.7,8.9,.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9,AS,27,CHI,NBA,SF,76,75,2809,25.1,.586,.198,.540,4.9,13.2,9.0,24.8,2.6,0.9,9.3,26.5,10.1,3.8,13.8,.236,5.6,1.7,7.3,6.6,AS
207,Paul George,2017,26,IND,NBA,SF,75,75,35.9,8.3,18.0,.461,2.6,6.6,.393,5.7,11.4,.501,.534,4.5,5.0,.898,0.8,5.8,6.6,3.3,1.6,0.4,2.9,2.7,23.7,AS,26,IND,NBA,SF,75,75,2689,20.2,.587,.368,.277,2.5,17.9,10.3,16.1,2.2,0.9,12.7,28.9,3.9,3.1,7.1,.126,3.0,0.1,3.1,3.4,AS
208,John Wall,2017,26,WAS,NBA,PG,78,78,36.4,8.3,18.4,.451,1.1,3.5,.327,7.2,14.9,.480,.482,5.4,6.8,.801,0.8,3.4,4.2,10.7,2.0,0.6,4.1,1.9,23.1,MVP-7,26,WAS,NBA,PG,78,78,2836,23.2,.541,.190,.367,2.4,10.6,6.5,46.9,2.7,1.4,16.2,30.6,5.8,3.0,8.8,.149,4.6,0.1,4.7,4.8,MVP-7
209,Kemba Walker,2017,26,CHO,NBA,PG,79,79,34.7,8.1,18.3,.444,3.0,7.6,.399,5.1,10.7,.476,.527,3.8,4.5,.847,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,23.2,AS,26,CHO,NBA,PG,79,79,2739,21.3,.569,.415,.248,1.8,10.6,6.2,29.1,1.6,0.7,9.5,29.2,5.9,2.2,8.1,.142,4.9,-0.8,4.1,4.2,AS
210,Carmelo Anthony,2017,32,NYK,NBA,SF,74,74,34.3,8.1,18.8,.433,2.0,5.7,.359,6.1,13.1,.466,.488,4.1,4.9,.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,AS,32,NYK,NBA,SF,74,74,2538,17.9,.535,.303,.263,2.6,16.0,9.3,14.5,1.2,1.1,9.0,29.1,3.2,1.5,4.7,.089,2.3,-1.6,0.7,1.7,AS
211,Isaiah Thomas,2017,27,BOS,NBA,PG,76,76,33.8,9.0,19.4,.463,3.2,8.5,.379,5.8,10.9,.528,.546,7.8,8.5,.909,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,28.9,MVP-5,27,BOS,NBA,PG,76,76,2569,26.5,.625,.439,.441,1.9,7.0,4.4,32.5,1.4,0.4,10.7,34.0,10.9,1.6,12.5,.234,7.8,-1.1,6.7,5.6,MVP-5
212,Kyle Lowry,2017,30,TOR,NBA,PG,60,60,37.4,7.1,15.3,.464,3.2,7.8,.412,3.9,7.5,.518,.569,5.0,6.1,.819,0.8,4.0,4.8,7.0,1.5,0.3,2.9,2.8,22.4,AS,30,TOR,NBA,PG,60,60,2244,22.9,.623,.510,.398,2.4,12.0,7.2,29.9,2.0,0.7,13.8,24.9,7.8,2.3,10.1,.216,5.8,0.4,6.1,4.6,AS
213,Paul Millsap,2017,31,ATL,NBA,PF,69,67,34.0,6.2,14.1,.442,1.1,3.5,.311,5.1,10.6,.486,.481,4.5,5.9,.768,1.6,6.1,7.7,3.7,1.3,0.9,2.3,2.7,18.1,AS,31,ATL,NBA,PF,69,67,2343,17.9,.542,.248,.417,5.3,19.5,12.5,17.9,1.9,2.3,12.1,24.4,2.6,3.8,6.4,.132,0.8,1.3,2.1,2.4,AS
214,Stephen Curry,2016,27,GSW,NBA,PG,79,79,34.2,10.2,20.2,.504,5.1,11.2,.454,5.1,9.0,.566,.630,4.6,5.1,.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1,MVP-1,27,GSW,NBA,PG,79,79,2700,31.5,.669,.554,.250,2.9,13.6,8.6,33.7,3.0,0.4,12.9,32.6,13.8,4.1,17.9,.318,10.3,1.6,11.9,9.5,MVP-1
215,Kobe Bryant,2016,37,LAL,NBA,SF,66,66,28.2,6.0,16.9,.358,2.0,7.1,.285,4.0,9.8,.410,.417,3.5,4.3,.826,0.6,3.1,3.7,2.8,0.9,0.2,2.0,1.7,17.6,AS,37,LAL,NBA,SF,66,66,1863,14.9,.469,.420,.252,2.3,12.3,7.1,19.1,1.7,0.5,9.4,32.2,-0.9,0.5,-0.4,-0.010,0.9,-2.4,-1.6,0.2,AS
216,Kawhi Leonard,2016,24,SAS,NBA,SF,72,72,33.1,7.7,15.1,.506,1.8,4.0,.443,5.9,11.1,.528,.565,4.1,4.6,.874,1.3,5.5,6.8,2.6,1.8,1.0,1.5,1.8,21.2,MVP-2,24,SAS,NBA,SF,72,72,2380,26.0,.616,.267,.306,4.7,18.4,11.8,13.0,2.8,2.3,7.8,25.8,8.3,5.5,13.7,.277,6.1,3.0,9.1,6.7,MVP-2
217,Kevin Durant,2016,27,OKC,NBA,SF,72,72,35.8,9.7,19.2,.505,2.6,6.7,.387,7.1,12.5,.569,.573,6.2,6.9,.898,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.2,MVP-5,27,OKC,NBA,SF,72,72,2578,28.2,.634,.348,.361,2.0,21.8,12.4,24.2,1.3,2.5,13.5,30.6,11.0,3.5,14.5,.270,8.4,1.6,9.9,7.8,MVP-5
218,Russell Westbrook,2016,27,OKC,NBA,PG,80,80,34.4,8.2,18.1,.454,1.3,4.3,.296,6.9,13.8,.503,.489,5.8,7.2,.812,1.8,6.0,7.8,10.4,2.0,0.3,4.3,2.5,23.5,MVP-4,27,OKC,NBA,PG,80,80,2750,27.6,.554,.236,.397,6.1,18.1,12.4,49.6,2.9,0.6,16.8,31.6,10.0,4.0,14.0,.245,6.4,1.4,7.8,6.8,MVP-4
219,James Harden,2016,26,HOU,NBA,SG,82,82,38.1,8.7,19.7,.439,2.9,8.0,.359,5.8,11.7,.494,.512,8.8,10.2,.860,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,29.0,MVP-9,26,HOU,NBA,SG,82,82,3125,25.3,.598,.406,.518,2.2,15.6,8.8,35.4,2.2,1.4,15.9,32.5,10.7,2.6,13.3,.204,6.4,0.2,6.6,6.8,MVP-9
220,Klay Thompson,2016,25,GSW,NBA,SG,80,80,33.3,8.1,17.3,.470,3.5,8.1,.425,4.7,9.2,.510,.569,2.4,2.8,.873,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1,AS,25,GSW,NBA,SG,80,80,2666,18.6,.597,.469,.159,1.5,10.3,6.2,9.8,1.1,1.4,8.5,26.3,5.5,2.6,8.0,.144,3.4,-1.6,1.8,2.5,AS
221,Chris Paul,2016,30,LAC,NBA,PG,74,74,32.7,7.0,15.1,.462,1.6,4.4,.371,5.3,10.6,.501,.517,4.0,4.4,.896,0.5,3.7,4.2,10.0,2.1,0.2,2.6,2.5,19.5,MVP-6,30,LAC,NBA,PG,74,74,2420,26.2,.575,.295,.294,1.8,12.0,7.0,52.7,3.1,0.4,13.4,27.1,9.2,3.5,12.7,.253,5.9,2.0,7.9,6.0,MVP-6
222,Anthony Davis,2016,22,NOP,NBA,C,61,61,35.5,9.2,18.6,.493,0.6,1.8,.324,8.6,16.9,.511,.508,5.3,7.0,.758,2.1,8.1,10.3,1.9,1.3,2.0,2.0,2.4,24.3,DPOY-9,22,NOP,NBA,C,61,61,2164,25.0,.559,.095,.379,6.4,26.4,16.1,10.0,1.8,4.7,8.4,29.6,4.4,2.8,7.2,.160,3.6,0.4,3.9,3.2,DPOY-9
223,LaMarcus Aldridge,2016,30,SAS,NBA,PF,74,74,30.6,7.2,14.1,.513,0.0,0.2,.000,7.2,13.9,.521,.513,3.5,4.1,.858,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2.0,18.0,AS,30,SAS,NBA,PF,74,74,2261,22.4,.565,.015,.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,5.6,4.5,10.1,.215,2.0,0.3,2.3,2.5,AS
224,Draymond Green,2016,25,GSW,NBA,PF,81,81,34.7,5.0,10.1,.490,1.2,3.2,.388,3.7,6.9,.537,.551,2.8,4.1,.696,1.7,7.8,9.5,7.4,1.5,1.4,3.2,3.0,14.0,MVP-7,25,GSW,NBA,PF,81,81,2808,19.3,.587,.315,.402,5.5,23.0,14.7,29.0,2.0,3.0,21.2,18.8,6.0,5.1,11.1,.190,2.6,2.9,5.5,5.3,MVP-7
225,DeMarcus Cousins,2016,25,SAC,NBA,C,65,65,34.6,9.2,20.5,.451,1.1,3.2,.333,8.2,17.3,.473,.477,7.3,10.2,.718,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,26.9,AS,25,SAC,NBA,C,65,65,2246,23.6,.538,.158,.498,7.7,28.2,18.0,17.0,2.2,3.3,13.3,35.4,2.4,3.3,5.7,.122,2.7,0.6,3.3,3.0,AS
226,Kyle Lowry,2016,29,TOR,NBA,PG,77,77,37.0,6.6,15.6,.427,2.8,7.1,.388,3.9,8.5,.461,.516,5.2,6.4,.811,0.7,4.0,4.7,6.4,2.1,0.4,2.9,2.7,21.2,MVP-10,29,TOR,NBA,PG,77,77,2851,22.2,.578,.457,.410,2.2,12.3,7.3,29.9,2.9,1.0,13.7,26.1,8.0,3.7,11.6,.196,4.7,1.1,5.8,5.7,MVP-10
227,Paul George,2016,25,IND,NBA,SF,81,81,34.8,7.5,17.9,.418,2.6,7.0,.371,4.9,10.9,.447,.490,5.6,6.5,.860,1.0,6.0,7.0,4.1,1.9,0.4,3.3,2.8,23.1,AS,25,IND,NBA,SF,81,81,2819,20.9,.557,.391,.364,3.1,18.7,10.9,20.3,2.7,0.8,13.6,30.4,4.4,4.8,9.2,.157,3.7,1.2,4.9,4.9,AS
228,Carmelo Anthony,2016,31,NYK,NBA,SF,72,72,35.1,7.9,18.2,.434,1.5,4.3,.339,6.4,13.8,.463,.474,4.6,5.6,.829,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,21.8,AS,31,NYK,NBA,SF,72,72,2530,20.3,.530,.237,.308,4.3,19.5,12.0,21.9,1.3,1.1,10.6,29.7,3.9,2.5,6.4,.121,3.8,-0.5,3.3,3.4,AS
229,Dwyane Wade,2016,34,MIA,NBA,SG,74,73,30.5,7.3,16.0,.456,0.1,0.6,.159,7.2,15.4,.468,.459,4.4,5.5,.793,1.1,3.0,4.1,4.6,1.1,0.6,2.7,1.6,19.0,AS,34,MIA,NBA,SG,74,73,2258,20.3,.517,.037,.343,4.3,10.7,7.6,27.4,1.8,1.4,13.0,31.6,2.4,2.6,4.9,.105,2.3,-0.4,1.9,2.2,AS
230,LeBron James,2016,31,CLE,NBA,SF,76,76,35.6,9.7,18.6,.520,1.1,3.7,.309,8.6,14.9,.573,.551,4.7,6.5,.731,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,25.3,MVP-3,31,CLE,NBA,SF,76,76,2709,27.5,.588,.199,.347,4.7,18.8,11.8,36.0,2.0,1.5,13.2,31.4,9.6,4.0,13.6,.242,7.0,2.0,9.0,7.5,MVP-3
231,John Wall,2016,25,WAS,NBA,PG,77,77,36.2,7.4,17.5,.424,1.5,4.3,.351,5.9,13.3,.448,.467,3.5,4.5,.791,0.5,4.4,4.9,10.2,1.9,0.8,4.1,2.1,19.9,AS,25,WAS,NBA,PG,77,77,2784,19.8,.510,.243,.255,1.7,13.8,7.6,46.2,2.5,1.7,17.5,28.6,2.2,3.5,5.7,.098,3.1,0.4,3.5,3.9,AS
232,Paul Millsap,2016,30,ATL,NBA,PF,81,81,32.7,6.2,13.2,.470,0.9,2.9,.319,5.3,10.3,.512,.505,3.8,5.0,.757,2.4,6.6,9.0,3.3,1.8,1.7,2.4,2.9,17.1,DPOY-5,30,ATL,NBA,PF,81,81,2647,21.3,.556,.218,.383,8.4,21.5,15.1,16.4,2.7,4.1,13.3,24.3,4.1,6.0,10.1,.183,1.5,2.7,4.2,4.1,DPOY-5
233,Isaiah Thomas,2016,26,BOS,NBA,PG,82,79,32.2,7.2,16.9,.428,2.0,5.7,.359,5.2,11.2,.462,.488,5.8,6.6,.871,0.6,2.4,3.0,6.2,1.1,0.1,2.7,2.0,22.2,AS,26,BOS,NBA,PG,82,79,2644,21.5,.562,.336,.394,1.8,8.0,4.9,32.7,1.7,0.3,11.9,29.6,7.2,2.5,9.7,.177,4.9,-0.6,4.3,4.2,AS
234,DeMar DeRozan,2016,26,TOR,NBA,SG,78,78,35.9,7.9,17.7,.446,0.6,1.8,.338,7.3,15.9,.458,.463,7.1,8.4,.850,0.8,3.7,4.5,4.0,1.0,0.3,2.2,2.1,23.5,AS,26,TOR,NBA,SG,78,78,2804,21.5,.550,.101,.474,2.7,11.5,7.1,20.8,1.5,0.6,9.5,29.8,7.5,2.4,9.9,.169,3.2,-0.7,2.5,3.2,AS
235,Andre Drummond,2016,22,DET,NBA,C,81,81,32.9,6.8,13.1,.521,0.0,0.1,.333,6.8,13.0,.522,.522,2.6,7.2,.355,4.9,9.9,14.8,0.8,1.5,1.4,1.9,3.0,16.2,DPOY-10,22,DET,NBA,C,81,81,2666,21.2,.499,.006,.553,15.6,34.2,24.5,4.4,2.3,3.2,10.5,24.1,2.0,5.5,7.4,.133,0.8,0.3,1.1,2.0,DPOY-10
236,Pau Gasol,2016,35,CHI,NBA,C,72,72,31.8,6.5,13.8,.469,0.3,1.0,.348,6.2,12.9,.478,.481,3.2,4.0,.792,2.2,8.9,11.0,4.1,0.6,2.0,2.3,2.1,16.5,AS,35,CHI,NBA,C,72,72,2291,21.7,.529,.069,.290,7.3,28.7,18.2,21.7,0.9,4.7,12.8,24.6,3.2,3.9,7.1,.149,2.7,2.3,4.9,4.0,AS
237,Al Horford,2016,29,ATL,NBA,C,82,82,32.1,6.5,12.8,.505,1.1,3.1,.344,5.4,9.7,.557,.547,1.3,1.6,.798,1.8,5.5,7.3,3.2,0.8,1.5,1.3,2.0,15.2,DPOY-13,29,ATL,NBA,C,82,82,2631,19.4,.565,.244,.123,6.3,18.2,12.4,16.7,1.3,3.6,8.8,20.6,4.9,4.5,9.4,.172,2.2,1.6,3.8,3.9,DPOY-13
238,James Harden,2015,25,HOU,NBA,SG,81,81,36.8,8.0,18.1,.440,2.6,6.9,.375,5.4,11.3,.480,.511,8.8,10.2,.868,0.9,4.7,5.7,7.0,1.9,0.7,4.0,2.6,27.4,MVP-2,25,HOU,NBA,SG,81,81,2981,26.7,.605,.378,.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,12.2,4.2,16.4,.265,7.0,1.8,8.8,8.1,MVP-2
239,Stephen Curry,2015,26,GSW,NBA,PG,80,80,32.7,8.2,16.8,.487,3.6,8.1,.443,4.6,8.7,.528,.594,3.9,4.2,.914,0.7,3.6,4.3,7.7,2.0,0.2,3.1,2.0,23.8,MVP-1,26,GSW,NBA,PG,80,80,2613,28.0,.638,.482,.251,2.4,11.4,7.0,38.6,3.0,0.5,14.3,28.9,11.5,4.1,15.7,.288,8.2,1.7,9.9,7.9,MVP-1
240,Marc Gasol,2015,30,MEM,NBA,C,81,81,33.2,6.5,13.2,.494,0.0,0.2,.176,6.5,13.0,.500,.496,4.3,5.4,.795,1.4,6.4,7.8,3.8,0.9,1.6,2.2,2.6,17.4,MVP-8,30,MEM,NBA,C,81,81,2687,21.7,.558,.016,.410,4.9,21.8,13.4,19.7,1.4,4.0,12.2,24.6,5.5,4.7,10.2,.182,2.7,2.4,5.1,4.8,MVP-8
